STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,OBS_VALUE,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_STATUS,OBS_CONF,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CSS,WB_WDI_SP_POP_TOTL,_T,_T,_T,PS,_Z,_Z,_Z,2000,3956229.0,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,Caribbean small states,"Population, total",Total,All age ranges or no breakdown by age,Total,Persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CEB,WB_WDI_SP_POP_TOTL,_T,_T,_T,PS,_Z,_Z,_Z,2000,1.08447824E8,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,Central Europe and the Baltics,"Population, total",Total,All age ranges or no breakdown by age,Total,Persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EAR,WB_WDI_SP_POP_TOTL,_T,_T,_T,PS,_Z,_Z,_Z,2000,2.50943147E9,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,Early-demographic dividend,"Population, total",Total,All age ranges or no breakdown by age,Total,Persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZMB,WB_WDI_SP_POP_TOTL,_T,_T,_T,PS,_Z,_Z,_Z,2016,1.6914423E7,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,Zambia,"Population, total",Total,All age ranges or no breakdown by age,Total,Persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZWE,WB_WDI_SP_POP_TOTL,_T,_T,_T,PS,_Z,_Z,_Z,2016,1.4600294E7,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,Zimbabwe,"Population, total",Total,All age ranges or no breakdown by age,Total,Persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFE,WB_WDI_SP_POP_TOTL,_T,_T,_T,PS,_Z,_Z,_Z,2017,6.40058741E8,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,Eastern & Southern Africa,"Population, total",Total,All age ranges or no breakdown by age,Total,Persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFW,WB_WDI_SP_POP_TOTL,_T,_T,_T,PS,_Z,_Z,_Z,2017,4.40882906E8,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,Western & Central Africa,"Population, total",Total,All age ranges or no breakdown by age,Total,Persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARB,WB_WDI_SP_POP_TOTL,_T,_T,_T,PS,_Z,_Z,_Z,2017,4.28315886E8,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,Arab World,"Population, total",Total,All age ranges or no breakdown by age,Total,Persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CSS,WB_WDI_SP_POP_TOTL,_T,_T,_T,PS,_Z,_Z,_Z,2017,4366140.0,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,Caribbean small states,"Population, total",Total,All age ranges or no breakdown by age,Total,Persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CEB,WB_WDI_SP_POP_TOTL,_T,_T,_T,PS,_Z,_Z,_Z,2017,1.02337501E8,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,Central Europe and the Baltics,"Population, total",Total,All age ranges or no breakdown by age,Total,Persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
